State,Male,Female,Total
BJ,90470000,84070000,174540000
TJ,60400000,61090000,121490000
HE,310690000,294490000,605180000
SX,153810000,145760000,299570000
NMG,106990000,99140000,206130000
LN,182920000,179390000,362310000
JL,116960000,110100000,227060000
HLJ,160550000,155960000,316510000
SH,102680000,96640000,199320000
JS,327540000,327720000,655260000
ZJ,235120000,218640000,453760000
AH,253830000,243820000,497650000
FJ,161650000,149820000,311470000
JX,194230000,178980000,373210000
SD,409280000,394030000,803310000
HA,390550000,386330000,776880000
HB,243220000,235380000,478600000
HN,283740000,268450000,552190000
GD,461830000,416650000,878480000
GX,203520000,185950000,389470000
HI,38990000,34900000,73890000
CQ,124940000,120180000,245120000
SC,341110000,327930000,669040000
GZ,149440000,139600000,289040000
YN,200440000,186350000,386790000
XZ,13080000,12670000,25750000
SN,159120000,151510000,310630000
GS,109480000,103630000,213110000
QH,24290000,23390000,47680000
NX,27570000,26420000,53990000
XJ,95830000,91050000,186880000
